Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Belgium,BEL,"Population, total",SP.POP.TOTL,9.153489,9.183948,9.220578,9.289769999999999,9.378113,9.463667,9.527807000000001,9.580991000000001,9.618756,9.646032,9.655549,9.673162,9.711115,9.741719999999999,9.772419000000001,9.8007,9.818227,9.830358,9.839534,9.848382,9.859242,9.858982000000001,9.856303,9.85552,9.855372000000001,9.858308000000001,9.861823,9.870234,9.901664,9.937697,9.967379,10.004486,10.045158,10.084475,10.115603,10.136811,10.156637,10.181245,10.203008,10.226419,10.25125,10.28657,10.332785000000001,10.376133,10.421137,10.478617,10.547958,10.6257,10.709973,10.796493,10.895586,11.047744,11.128246,11.182817,11.209057000000001,11.274196,11.348158999999999,11.348725000519202,11.443064326765093,11.573441978068685,11.78644131590844,11.995888581128751,12.29305212495371,12.66013893055551,12.997058074003165,13.39165323055615
Benin,BEN,"Population, total",SP.POP.TOTL,2.431622,2.465867,2.502896,2.542859,2.5859650000000003,2.632356,2.682159,2.735307,2.7915900000000002,2.850661,2.91234,2.976572,3.043567,3.113675,3.1874119999999997,3.265165,3.347173,3.433439,3.523938,3.618526,3.717165,3.820128,3.927714,4.039949,4.1568190000000005,4.278501,4.404506,4.535263,4.672852,4.820016000000001,4.978496,5.149499,5.331803,5.521763,5.71422,5.905558,6.094259,6.281639,6.470265,6.664097999999999,6.865951,7.076733,7.295394,7.520555,7.750004,7.982225,8.216896,8.454791,8.696916,8.944706,9.199259,9.460802000000001,9.72916,10.004451,10.286712,10.575952000000001,10.872297999999999,11.092763845327784,11.35604149531024,11.626601591297238,11.911994831660872,12.22101054463179,12.555830505070833,12.906703182141069,13.26090898082089,13.607515361530416
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,4.829288,4.89458,4.960326,5.027821,5.09889,5.174869999999999,5.2563629999999995,5.343019,5.434041000000001,5.528174,5.6246,5.723381,5.825173,5.930483000000001,6.040041,6.154545,6.274037,6.398935,6.530819,6.671656,6.822842999999999,6.9851600000000005,7.1582550000000005,7.340905,7.531242,7.727907000000001,7.930694,8.140073,8.356305,8.579823,8.811034,9.050084,9.297113000000001,9.552475999999999,9.816588000000001,10.089878,10.372745,10.665546,10.968724,11.282701,11.607942,11.944587,12.2931,12.654621,13.030569,13.42193,13.829177,14.252021,14.689726,15.141098999999999,15.605217000000001,16.081904,16.571216,17.072723,17.585977,18.110623999999998,18.646433,19.156209597016275,19.688875731588148,20.233238912753833,20.79112988685334,21.362757633129654,21.949537095697682,22.547664571287516,23.15822298369867,23.78011470697043
Bangladesh,BGD,"Population, total",SP.POP.TOTL,48.199746999999995,49.592802,51.030136999999996,52.532417,54.1291,55.834038,57.672990000000006,59.62066899999999,61.579473,63.417393999999994,65.04777,66.42474399999999,67.59747,68.691185,69.88441999999999,71.30592299999999,72.999136,74.925896,77.033846,79.236776,81.47086,83.72126800000001,86.00733100000001,88.33824200000001,90.732362,93.199865,95.74243100000001,98.343809,100.975321,103.599232,106.18864199999999,108.72743200000001,111.221938,113.69513899999998,116.182267,118.70687099999999,121.269645,123.85463999999999,126.447965,129.02969099999999,131.581243,134.10716000000002,136.600667,139.019001,141.307489,143.431101,145.368004,147.13919099999998,148.805814,150.454708,152.149102,153.911916,155.727053,157.571292,159.405279,161.200886,162.95156,168.96357360157123,173.00392590955005,177.26612006022066,181.7246152155612,186.39767009590588,190.9697880343614,195.50408823652378,200.044799921035,204.57434915465865
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7.867374000000001,7.943117999999999,8.012946000000001,8.078145,8.14434,8.204168,8.258057,8.310226,8.369603,8.434172,8.489574000000001,8.536394999999999,8.5762,8.620967,8.678745,8.720742,8.758599,8.804183,8.814032000000001,8.82594,8.861535,8.891117,8.917457,8.939738,8.960678999999999,8.960547,8.958171,8.971359,8.981446,8.876972,8.718289,8.632367,8.540164,8.472313,8.443591,8.406067,8.362826,8.312068,8.256786,8.210624000000001,8.170172,8.009142,7.837161,7.775327000000001,7.7168600000000005,7.658972,7.601022,7.545338,7.492561,7.444443,7.395599000000001,7.3483279999999995,7.305888,7.265115,7.223938,7.1779910000000005,7.127822,7.509533690887046,7.423733201425406,7.328809726832159,7.005441273814085,6.908305826616015,7.112180588954521,7.082440164824831,6.944407328874816,7.27911051238669
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,0.109528,0.11510799999999999,0.121083,0.127333,0.133698,0.14005399999999998,0.146366,0.152609,0.158627,0.164248,0.169354,0.17386300000000002,0.177839,0.181488,0.185099,0.188882,0.192902,0.19711099999999998,0.201513,0.20603200000000002,0.21066100000000001,0.215396,0.220275,0.225187,0.230015,0.23468699999999998,0.23913099999999998,0.24339299999999997,0.247579,0.251849,0.256336,0.26111599999999996,0.26613400000000004,0.271165,0.275895,0.28015,0.28379,0.28697,0.29006,0.293572,0.29789,0.303135,0.309157,0.315746,0.32252600000000003,0.32924899999999996,0.33583,0.342328,0.34867600000000004,0.354856,0.36083200000000004,0.366568,0.372039,0.37724,0.382169,0.386838,0.391232,0.3911266925284336,0.3922731144319813,0.39347023860009084,0.39517920392615363,0.39813380736035514,0.4023716984451882,0.40711351272546414,0.4109496367191087,0.41304539198638024
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3.225668,3.2886019999999996,3.3532260000000003,3.4175739999999997,3.478995,3.5356400000000003,3.5866339999999997,3.6326690000000004,3.6754519999999995,3.7174660000000004,3.7605269999999997,3.805285,3.851151,3.8972550000000004,3.9422230000000003,3.985103,4.025265,4.063191000000001,4.10035,4.138819,4.179855,4.222511,4.2653099999999995,4.3081059999999995,4.350746,4.39213,4.435504,4.478519,4.508056,4.506653,4.4634220000000004,4.3716029999999995,4.239154,4.087999,3.9488160000000003,3.8437120000000005,3.780378,3.7524309999999996,3.750485,3.759118,3.7667059999999997,3.7712839999999996,3.775807,3.7792470000000002,3.7812870000000003,3.7815300000000005,3.779468,3.7739999999999996,3.7635989999999997,3.7465610000000003,3.7220839999999997,3.6888650000000003,3.6482,3.604999,3.5660019999999997,3.535961,3.5168160000000004,3.8837333571372405,4.112795815410556,4.34014896237004,4.513598434571019,4.58095617858298,4.525859730872643,4.394026312048443,4.253124072160818,4.163036748105173
Belarus,BLR,"Population, total",SP.POP.TOTL,8.198,8.271216,8.351928,8.437232,8.524224,8.61,8.696496,8.785648,8.874552,8.960303999999999,9.04,9.115575999999999,9.188968,9.257272,9.317584,9.367,9.411,9.463,9.525,9.584,9.642999999999999,9.71,9.776,9.843,9.91,9.975,10.043,10.111,10.14,10.17,10.189,10.193999999999999,10.216000000000001,10.238999999999999,10.227,10.193999999999999,10.16,10.117,10.068999999999999,10.026738,9.979610000000001,9.928549,9.865548,9.796749,9.730146000000001,9.663915,9.604924,9.560953,9.527985000000001,9.506765,9.490583,9.473172,9.464495,9.465997,9.474511,9.489616,9.50712,9.890392772468177,10.02431357259787,10.169972486869712,10.389161274690533,10.688490778614842,11.036648723684577,11.465324884513945,11.949985327894364,12.386895741499206
Belize,BLZ,"Population, total",SP.POP.TOTL,0.092064,0.094703,0.097384,0.100164,0.10306900000000001,0.106119,0.109347,0.112692,0.11606099999999998,0.11926099999999999,0.122182,0.124793,0.12715,0.129294,0.131307,0.13326,0.135147,0.136989,0.138965,0.141305,0.144155,0.147566,0.1515,0.15582200000000002,0.160347,0.164921,0.169568,0.17432,0.179028,0.183469,0.187552,0.191126,0.19431700000000002,0.197616,0.201674,0.206963,0.21367600000000003,0.221606,0.23028400000000002,0.23902600000000002,0.247315,0.254984,0.262206,0.26913000000000004,0.276089,0.283277,0.290747,0.29840700000000003,0.306165,0.313929,0.321608,0.329192,0.33670100000000003,0.344181,0.351694,0.359288,0.366954,0.3707697683778664,0.37583368699027986,0.37959780606407906,0.3812178536251324,0.37977899429635364,0.37469992121695694,0.36664144808963917,0.3578663405881388,0.3496407859824578
Bermuda,BMU,"Population, total",SP.POP.TOTL,0.0444,0.0455,0.0466,0.0477,0.0489,0.0501,0.051,0.052000000000000005,0.053,0.054000000000000006,0.055,0.0546,0.0542,0.0538,0.0534,0.053,0.0532,0.0534,0.0536,0.0538,0.05467,0.05505,0.055449,0.055929999999999994,0.056423,0.056898000000000004,0.057382,0.057849,0.058347,0.058841,0.059326,0.059021000000000004,0.058595,0.058910000000000004,0.059320000000000005,0.059746,0.060128999999999995,0.060497,0.060943,0.061285,0.061833000000000006,0.06250399999999999,0.062912,0.063325,0.06373999999999999,0.064154,0.064523,0.064888,0.065273,0.065636,0.065124,0.064564,0.06479800000000001,0.065001,0.065139,0.065235,0.065331,0.08701511977109731,0.09364010693716159,0.1039619701271857,0.11175508515257304,0.11932791876774528,0.1278048977755324,0.13834886493245874,0.1480157840693369,0.15904689279746667
